Id,Caseta,Clase,Camion_Tipo,Importe,Tarifa_Esperada,Diferencia
4218,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4220,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
4226,CONTEPEC,9,Camion_T9,141.0,275.0,-134.0
4236,LA VENTA,2,Camion_T2,366.0,224.0,142.0
4240,TEPOTZOTLAN,9,Camion_T9,678.0,54.0,624.0
4241,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
4243,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4249,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4251,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4272,TEPOTZOTLAN,3,Camion_T3,234.0,471.0,-237.0
4294,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
4296,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
4308,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4330,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4332,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
4337,ZAPOTLANEJO,5,Camion_T5,71.0,422.0,-351.0
4337,ZAPOTLANEJO,5,Camion_T5,71.0,340.0,-269.0
4337,ZAPOTLANEJO,5,Camion_T5,71.0,458.0,-387.0
4337,ZAPOTLANEJO,5,Camion_T5,71.0,308.0,-237.0
4337,ZAPOTLANEJO,5,Camion_T5,71.0,209.0,-138.0
4337,ZAPOTLANEJO,5,Camion_T5,71.0,181.0,-110.0
4337,ZAPOTLANEJO,5,Camion_T5,71.0,216.0,-145.0
4337,ZAPOTLANEJO,5,Camion_T5,71.0,164.0,-93.0
4340,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
4345,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
4354,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
4404,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
4405,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
4415,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
4423,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
4424,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
4427,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4431,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
4437,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4468,TEPOTZOTLAN,9,Camion_T9,678.0,54.0,624.0
4488,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4499,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4502,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
4513,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4535,CONTEPEC,9,Camion_T9,141.0,275.0,-134.0
4553,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
4564,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
