Id,Caseta,Clase,Camion_Tipo,Importe
5716,CTO. EXT. MEXIQUENSE,1,Camion_T1,458.0
5717,TIZAYUCA EASYTRIP,1,Camion_T1,418.0
5720,ATLACOMULCO-LIB QRO,5,Camion_T5,636.0
5725,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5727,AMOZOC-PEROTE,1,Camion_T1,382.0
5730,APODACA,5,Camion_T5,191.0
5731,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
5732,ECATEPEC VIAPASS,1,Camion_T1,930.0
5733,TULANCINGO,5,Camion_T5,334.0
5735,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5736,ECATEPEC VIAPASS,1,Camion_T1,514.0
5737,CTO. EXT. MEXIQUENSE,1,Camion_T1,65.0
5738,LIB. PUEBLA,1,Camion_T1,232.0
5742,ARMERIA VIAPASS,1,Camion_T1,662.0
5743,CTO. EXT. MEXIQUENSE,1,Camion_T1,162.0
5745,ARMERIA VIAPASS,1,Camion_T1,662.0
5746,MARQUESA T2,1,Camion_T1,287.0
5751,S.MARTIN PUE.,5,Camion_T5,238.0
5752,QUERETARO,5,Camion_T5,387.0
5753,LOS CHORROS,1,Camion_T1,156.0
5754,QUERETARO,5,Camion_T5,387.0
5757,CTO. EXT. MEXIQUENSE,1,Camion_T1,113.0
5758,SAN MARTIN TEXMELUCAN,5,Camion_T5,1366.0
5761,CTO. EXT. MEXIQUENSE,1,Camion_T1,81.0
5762,ARMERIA VIAPASS,1,Camion_T1,590.0
5764,TULANCINGO,9,Camion_T9,482.0
5765,PLAN DE RIO,1,Camion_T1,221.0
5767,AMOZOC-PEROTE,1,Camion_T1,382.0
5768,VENTURA - EL PEYOTE,5,Camion_T5,312.0
5770,MARQUESA VIAPASS,1,Camion_T1,222.0
5778,CTO. EXT. MEXIQUENSE,1,Camion_T1,184.0
5780,ARMERIA VIAPASS,1,Camion_T1,803.0
5782,VENTURA - EL PEYOTE,5,Camion_T5,312.0
5783,AMOZOC-PEROTE,1,Camion_T1,315.0
5784,SIERVO DE LA NACIÓN,1,Camion_T1,64.0
5787,LIB. SUR PTE. QRO,5,Camion_T5,345.0
5789,ECATEPEC VIAPASS,1,Camion_T1,210.0
5791,AMOZOC-PEROTE,1,Camion_T1,179.0
5793,LA ANTIGUA,1,Camion_T1,300.0
5794,YOSTIRO,1,Camion_T1,62.0
5796,APODACA,5,Camion_T5,191.0
5797,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5798,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5805,AMOZOC-PEROTE,1,Camion_T1,124.0
5806,ARANDAS,1,Camion_T1,122.0
5808,APASEO EL GRANDE,5,Camion_T5,636.0
5809,AMOZOC-PEROTE,1,Camion_T1,241.0
5810,APODACA,9,Camion_T9,874.0
5811,CTO. EXT. MEXIQUENSE,1,Camion_T1,236.0
5814,ARMERIA VIAPASS,1,Camion_T1,662.0
5817,LIB. ARCO NT. SLP,5,Camion_T5,266.0
5818,TIZAYUCA EASYTRIP,1,Camion_T1,276.0
5819,TULANCINGO,2,Camion_T2,212.0
5820,REVOLUCION EASYTRIP,1,Camion_T1,125.0
5822,CTO. EXT. MEXIQUENSE,1,Camion_T1,56.0
5824,CTO. EXT. MEXIQUENSE,1,Camion_T1,645.0
5833,JUÁREZ,9,Camion_T9,520.0
5835,VENTURA - EL PEYOTE,5,Camion_T5,312.0
5836,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
5846,TEXCOCO,1,Camion_T1,185.0
5847,CTO. EXT. MEXIQUENSE,1,Camion_T1,65.0
5849,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5850,ECATEPEC VIAPASS,1,Camion_T1,930.0
5853,ANE EASYTRIP,1,Camion_T1,168.0
5855,AMOZOC-PEROTE,1,Camion_T1,179.0
5856,CALDERON,5,Camion_T5,382.0
5857,LIB. SUR DE GUAD.,4,Camion_T4,113.0
5861,PALMILLAS,1,Camion_T1,108.0
5863,ARMERIA VIAPASS,1,Camion_T1,803.0
5864,TULANCINGO,9,Camion_T9,482.0
5865,QUERETARO,9,Camion_T9,544.0
