Via,Nombre,Camion_T2,Camion_T3,Camion_T4,Camion_T5,Camion_T6,Camion_T7,Camion_T8,Camion_T9
PIRÁMIDES-TEXCOCO,TEZOYUCA VIAPASS,41.00,63.00,84.00,104.00,126.00,146.00,166.00,188.00
PIRÁMIDES-TEXCOCO,NABOR CARRILLLO,204.00,264.00,326.00,426.00,493.00,593.00,651.00,711.00
PIRÁMIDES-TEXCOCO,NABOR CARRILLLO,83.00,143.00,205.00,241.00,308.00,350.00,408.00,468.00
PIRÁMIDES-TEXCOCO,NABOR CARRILLLO,44.00,104.00,166.00,182.00,249.00,271.00,329.00,389.00
,NOMBRE,T2,T3,T4,T5,T6,T7,T8,T9
PEÑON-TEXCOCO,PEÑON,121.00,121.00,121.00,185.00,185.00,243.00,243.00,243.00
PEÑON-TEXCOCO,TEXCOCO,121.00,121.00,121.00,185.00,185.00,243.00,243.00,243.00
PEÑON-TEXCOCO,ENT. PEÑON,94.00,94.00,94.00,140.00,140.00,186.00,186.00,186.00
LIBRAMIENTO TULANCINGO-NUEVO NECAXA,TEJOCOTAL,162.00,162.00,193.00,193.00,262.00,262.00,262.00,262.00
LIBRAMIENTO TULANCINGO-NUEVO NECAXA,TEJOCOTAL,104.00,104.00,124.00,124.00,163.00,163.00,163.00,163.00
LIBRAMIENTO TULANCINGO-NUEVO NECAXA,TEJOCOTAL,51.00,51.00,65.00,65.00,80.00,80.00,80.00,80.00
LIBRAMIENTO TULANCINGO-NUEVO NECAXA,NUEVO NECAXA,51.00,51.00,59.00,59.00,80.00,80.00,80.00,80.00
AVILA CAMACHO - TIHUATLAN,EL PIÑAL,297.00,297.00,297.00,572.00,572.00,678.00,678.00,678.00
AVILA CAMACHO - TIHUATLAN,MIAHUAPAN,297.00,297.00,297.00,572.00,572.00,678.00,678.00,678.00
TIHUATLAN-TUXPAN,TUXPAN,126.00,126.00,249.00,249.00,368.00,368.00,368.00,368.00
TIHUATLAN-TUXPAN,TIHUATLAN,15.00,15.00,30.00,30.00,43.00,43.00,43.00,43.00
TUXPAN-TAMPICO,NARANJOS,378.00,378.00,378.00,565.00,565.00,651.00,651.00,651.00
TUXPAN-TAMPICO,NARANJOS,794.00,794.00,794.00,1189.00,1189.00,1369.00,1369.00,1369.00
TUXPAN-TAMPICO,NARANJOS,416.00,416.00,416.00,624.00,624.00,718.00,718.00,718.00
TUXPAN- TAMPICO,LOS GIL,97.00,97.00,97.00,145.00,145.00,165.00,165.00,165.00
TIHUATLAN-GUTIERREZ ZAMORA,TOTOMOXTLE,98.00,98.00,98.00,166.00,166.00,220.00,220.00,220.00
TUXPAN-CARDEL,TOTOMOXTLE II,98.00,98.00,98.00,166.00,166.00,220.00,220.00,220.00
TUXPAN-CARDEL,TOTOMOXTLE II,423.00,423.00,423.00,634.00,634.00,731.00,731.00,731.00
CARDEL,TOTOMOXTLE II,521.00,521.00,521.00,800.00,800.00,951.00,951.00,951.00
TUXPAN-CARDEL,VEGA DE ALATORRE,269.00,269.00,269.00,403.00,403.00,464.00,464.00,464.00
TUXPAN-CARDEL,VEGA DE ALATORRE,668.00,668.00,668.00,1001.00,1001.00,1154.00,1154.00,1154.00
TUXPAN-CARDEL,VEGA DE ALATORRE,399.00,399.00,399.00,598.00,598.00,691.00,691.00,691.00
